"","Name","Geography1","cat1","cat2","cat3","cat4","cat5","cat6","cat7","cat8","cat9","cat10","cat11","cat12","cat13","cat14","cat15","cat16","cat17","cat18"
"313","Spelthorne","Non-metropolitan District",6374,6339,5753,4920,4758,5484,6227,7373,6831,7307,7303,6855,5351,4747,4715,3500,2813,2684
"314","Surrey Heath","Non-metropolitan District",4773,5612,5588,4936,4225,4604,4679,5620,5986,7082,7075,6270,5073,4378,4534,3306,2591,2542
"315","Tandridge","Non-metropolitan District",5063,5440,5365,4804,3758,4267,4798,5603,5507,6413,7025,6170,5143,4740,4908,3260,2416,2816
"316","Waverley","Non-metropolitan District",6907,8212,8340,7935,5645,4885,5646,7381,8499,9575,9505,8471,7095,6751,7096,5085,4054,4528
"317","Woking","Non-metropolitan District",6692,7253,6578,5159,4155,5330,6348,7851,8126,7437,7313,6362,5325,4743,4306,3007,2449,2733
"318","West Sussex","County",46821,52172,48804,43519,39390,44516,47817,53393,52309,60344,63834,58798,51612,50164,51984,35836,27832,29707
"319","Adur","Non-metropolitan District",3601,3956,3494,3143,2807,2989,3458,3952,4114,4676,4743,4199,3767,3841,3969,2843,2185,2132
"320","Arun","Non-metropolitan District",7732,8696,7821,7213,7165,7930,7915,8299,8101,10358,11428,10957,10346,11319,12376,8668,6647,6856
"321","Chichester","Non-metropolitan District",5705,6627,6395,6042,6551,5757,5376,5850,6221,7733,8894,8805,8262,8046,8598,6133,4710,5045
"322","Crawley","Non-metropolitan District",8006,8294,7118,5989,5816,7763,9054,9751,7979,7875,7536,6666,5553,4426,3786,2460,1997,2379
"323","Horsham","Non-metropolitan District",7338,8315,8587,7734,6013,6955,7189,8297,8610,10233,11486,10615,8864,8481,8467,5915,4537,4581
"324","Mid Sussex","Non-metropolitan District",8584,9790,9256,8061,6187,7200,8384,10095,10196,11417,11418,10088,8544,7977,8297,5398,4195,4629
"325","Worthing","Non-metropolitan District",5855,6494,6133,5337,4851,5922,6441,7149,7088,8052,8329,7468,6276,6074,6491,4419,3561,4085
"326","SOUTH WEST","Region",296357,325087,307217,304286,339333,336927,327070,327399,311220,373652,402594,379723,338670,332624,333053,225441,167403,171679
"327","Bath and North East Somerset","Unitary Authority",9426,10502,10146,13605,21211,14707,10061,10127,9890,12031,12660,11527,9953,9499,9605,6569,5222,5365
"328","Bournemouth","Unitary Authority",10832,11154,9297,10999,17690,12655,13476,14399,12123,12455,12869,11342,9837,9075,9054,6109,4994,5995
"329","Bristol City of","Unitary Authority",28994,28151,24284,26219,51020,50912,41042,33699,26963,25604,25233,22355,18979,16734,15083,10849,8227,9057
"330","Cornwall","Unitary Authority",28270,31853,30299,29876,30366,28002,28162,29905,30244,37923,41748,41002,38686,39079,39738,25246,18018,17551
"331","Isles of Scilly","Unitary Authority",101,123,108,64,98,137,135,145,126,144,175,158,152,146,170,105,68,87
"332","North Somerset","Unitary Authority",11491,12940,12146,10992,9382,10360,11458,12771,12953,15128,15940,14422,12989,13282,14069,9374,7070,7152
"333","Plymouth","Unitary Authority",14969,15831,14052,15651,23841,18861,17192,16311,13993,16520,17447,16291,14140,12990,13030,8895,6671,6415
"334","Poole","Unitary Authority",8108,8797,8544,7853,7410,8333,9075,9694,8847,10414,10979,10262,8813,8851,9060,6117,4970,5270
"335","South Gloucestershire","Unitary Authority",16325,17528,16183,15651,17790,17803,18957,18708,17035,19742,21092,18199,14881,13757,14179,10152,7568,7094
"336","Swindon","Unitary Authority",14479,15097,13373,11929,11286,13531,15749,16146,15094,16805,16458,14901,11974,10174,9364,6330,4661,4645
"337","Torbay","Unitary Authority",6918,7450,7083,6629,6223,6920,6957,6703,6802,8884,10020,9937,9347,9468,9840,6606,4939,5054
"338","Wiltshire","Unitary Authority",27307,31219,30205,27002,22397,26759,28648,29143,29156,36556,38276,35425,30134,28858,28766,19461,14298,14454
"339","Devon","County",37314,43027,41818,41668,44078,44177,40947,41655,40730,51451,58021,56990,53139,53933,54790,36499,26735,28314
"340","East Devon","Non-metropolitan District",6492,7621,7516,6735,5411,6409,6715,6958,7135,9299,10306,10088,10143,10821,11563,8117,6210,6778
"341","Exeter","Non-metropolitan District",6491,6716,5924,8922,17187,13211,9054,8052,6871,7223,7449,6720,5842,5488,5258,3776,2856,3388
"342","Mid Devon","Non-metropolitan District",4172,4939,4993,4532,3768,3890,4192,4337,4488,5821,6205,5980,5303,5440,5170,3486,2419,2560
"343","North Devon","Non-metropolitan District",4801,5547,5352,4734,4280,5017,4886,5076,5047,6487,7228,7052,6478,6291,6724,4523,3256,3331
"344","South Hams","Non-metropolitan District",3543,4537,4606,4355,3139,3643,3721,4134,4319,5583,6875,7007,6600,6846,6856,4293,3152,3012
"345","Teignbridge","Non-metropolitan District",6249,7085,6928,6399,5404,6439,6741,7007,6900,8833,10385,10168,9385,9484,9682,6268,4497,4990
"346","Torridge","Non-metropolitan District",3173,3741,3450,3301,2818,3219,3140,3276,3324,4472,5150,5385,5199,5392,5145,3319,2397,2242
"347","West Devon","Non-metropolitan District",2393,2841,3049,2690,2071,2349,2498,2815,2646,3733,4423,4590,4189,4171,4392,2717,1948,2013
"348","Dorset","County",18202,22026,22795,21736,17025,19227,19153,20440,21412,27636,31495,31664,30139,31632,33708,22821,17354,18051
"349","Christchurch","Non-metropolitan District",1923,2593,2736,2450,2054,2143,2180,2430,2541,3248,3566,3304,3114,3622,4170,2888,2460,2610
"350","East Dorset","Non-metropolitan District",3676,4701,4603,4282,3486,3692,3573,4060,4436,5732,6456,6699,6263,6795,7667,5212,4225,4331
"351","North Dorset","Non-metropolitan District",3222,3809,4116,4095,2799,3405,3542,3811,3720,4655,5250,5229,4830,4934,5063,3388,2399,2574
"352","Purbeck","Non-metropolitan District",2131,2433,2561,2331,2055,2290,2214,2351,2412,2941,3448,3579,3398,3463,3639,2440,1742,1707
"353","West Dorset","Non-metropolitan District",4093,5052,5373,5148,3547,4231,4279,4427,4979,6581,7771,7982,7758,8189,8414,5968,4311,4651
"354","Weymouth and Portland","Non-metropolitan District",3157,3438,3406,3430,3084,3466,3365,3361,3324,4479,5004,4871,4776,4629,4755,2925,2217,2178
"355","Gloucestershire","County",34617,37207,35571,34849,33775,35364,36346,38235,36540,44722,48085,44687,38587,37414,35962,25249,18327,18021
"356","Cheltenham","Non-metropolitan District",6369,6544,6401,7061,8130,7808,8007,7985,6910,7666,8123,7370,6197,5944,5686,4109,3187,3593
"357","Cotswold","Non-metropolitan District",4175,4691,4807,4473,4178,3803,4019,4560,4896,6490,7271,6747,6152,6123,6131,4270,3082,3154
"358","Forest of Dean","Non-metropolitan District",4209,4707,4551,4987,4506,4309,4001,4216,4374,6059,6897,6698,5995,6140,5829,3943,2713,2409
"359","Gloucester","Non-metropolitan District",8427,8579,7655,7373,7917,8624,8976,8949,7675,8948,9329,8453,6810,6009,5666,4036,2886,2973
"360","Stroud","Non-metropolitan District",5880,7049,7035,6442,5196,5657,5905,6575,7242,9131,9449,8983,7857,7579,7211,4981,3631,3216
"361","Tewkesbury","Non-metropolitan District",5557,5637,5122,4513,3848,5163,5438,5950,5443,6428,7016,6436,5576,5619,5439,3910,2828,2676
"362","Somerset","County",29004,32182,31313,29563,25741,29179,29712,29318,29312,37637,42096,40561,36920,37732,36635,25059,18281,19154
"363","Mendip","Non-metropolitan District",5888,6639,6809,6722,5213,5537,5860,6018,6364,8165,9197,8456,7535,7446,7159,4721,3550,3602
"364","Sedgemoor","Non-metropolitan District",6597,7252,6857,6615,5916,6532,6485,6455,6348,8357,9533,8926,8013,8077,7778,5374,3764,3912
"365","South Somerset","Non-metropolitan District",8682,9674,9370,8529,7592,8911,9027,8604,8821,11079,12134,12116,11042,11655,11463,7882,5556,5724
"366","Taunton Deane","Non-metropolitan District",6492,7016,6785,6220,5561,6777,6952,6877,6557,8086,8722,8191,7475,7402,6999,4869,3744,4254
"367","West Somerset","Non-metropolitan District",1345,1601,1492,1477,1459,1422,1388,1364,1222,1950,2510,2872,2855,3152,3236,2213,1667,1662
"368","WALES","Country",168703,184454,176663,174220,205306,206348,188433,183418,169371,206155,221680,212235,189652,184183,175352,121999,88041,82418
"369","Isle of Anglesey","Unitary Authority",3600,4051,3715,3357,3166,3862,3547,3646,3438,4567,4927,5161,4932,5000,4993,3378,2364,2257
"370","Gwynedd","Unitary Authority",5980,6904,6749,7196,10759,8373,6328,6216,5841,7569,8234,8246,7612,7590,7525,5218,3781,4057
"371","Conwy","Unitary Authority",5467,6288,6134,5719,5146,5928,5711,5860,5546,7710,8709,8768,8041,8272,8376,6032,4541,4933
"372","Denbighshire","Unitary Authority",5094,5623,5514,5006,4604,5573,4790,4644,4945,6295,7099,6925,6259,6487,6366,4366,3061,2679
"373","Flintshire","Unitary Authority",8289,9430,9383,8305,7747,9478,9449,9018,8763,11414,11712,10755,9198,9460,9196,6165,4228,3603
"374","Wrexham","Unitary Authority",7808,8800,8190,7163,6974,8369,8749,8701,7762,9791,9817,8919,8124,7738,7365,5028,3506,3322
"375","Powys","Unitary Authority",6008,6780,7044,6840,5876,6609,6009,6028,6382,8745,10166,10352,9833,10016,9593,6677,4776,4713
"376","Ceredigion","Unitary Authority",3108,3601,3532,4701,7407,4734,2433,3061,3161,4144,4893,5026,4996,5142,4892,3265,2398,2498
"377","Pembrokeshire","Unitary Authority",6017,7054,7058,6477,5917,6834,6382,6131,5997,7945,9063,9381,8669,8928,8710,5932,4307,4253
"378","Carmarthenshire","Unitary Authority",9615,10864,10691,9999,9311,10261,10356,10047,9786,12110,13839,13740,12938,12370,11911,8350,5878,5502
"379","Swansea","Unitary Authority",12578,13650,13201,14654,22580,18026,14995,14728,13483,15384,16107,15102,13929,13107,12638,8986,6813,6505
"380","Neath Port Talbot","Unitary Authority",7606,8010,7909,8484,7406,8493,9019,9046,8239,9487,10381,10117,9179,8685,7916,5470,3943,3516
"381","Bridgend","Unitary Authority",7986,8494,8114,7642,7665,8965,9165,9233,8483,10329,10763,10095,8563,8425,7928,5730,3956,3340
"382","Vale of Glamorgan","Unitary Authority",7216,7990,7821,7190,6732,7512,7607,8158,7993,9109,9510,9300,8336,7733,7629,5247,3658,3424
"383","Cardiff","Unitary Authority",21505,22416,19918,22989,42304,33833,26363,24090,20505,20782,21224,19969,17011,14938,12829,9014,7258,7300
"384","Rhondda Cynon Taf","Unitary Authority",13622,14793,13810,13188,15544,17009,15741,14961,13047,16246,16878,15579,13719,13299,12762,8622,6123,5188
"385","Merthyr Tydfil","Unitary Authority",3718,3741,3426,3284,3447,4148,4235,3788,3193,3914,4341,4178,3546,3373,2996,2092,1510,1253
"386","Caerphilly","Unitary Authority",10197,11043,10759,9965,10237,11705,11749,11511,10377,12647,13174,11983,10680,10388,9638,6694,4618,3654
"387","Blaenau Gwent","Unitary Authority",3739,3995,3772,3683,3957,4918,4506,4171,3754,4939,5309,4925,4113,4017,3793,2763,1829,1530
"388","Torfaen","Unitary Authority",5207,5716,5370,4890,5472,6152,5915,5490,4867,6211,6708,6497,5581,5436,5033,3527,2551,2426
"389","Monmouthshire","Unitary Authority",4175,5001,5246,4948,4319,4657,4406,4719,4898,6668,7956,7271,6454,6472,6247,4360,3155,3190
"390","Newport","Unitary Authority",10168,10210,9307,8540,8736,10909,10978,10171,8911,10149,10870,9946,7939,7307,7016,5083,3787,3275
"391","SCOTLAND","Country",276862,301089,287790,284564,350624,382340,361258,347997,317522,374287,404687,386660,336306,300413,270965,191102,140258,123376
"392","Aberdeen City","Council Area",11751,11517,9824,10473,18625,23442,20494,17386,13779,14090,14314,13989,12344,10483,8814,6468,5088,4679
"393","Aberdeenshire","Council Area",14564,16216,15372,13752,12689,13249,15249,17134,17051,19913,20421,18943,17118,15313,13493,9098,6329,5566
"394","Angus","Council Area",5552,6198,6257,6135,6091,5876,6190,6635,6354,8057,8787,8881,7739,7748,7367,5020,3692,3461
"395","Argyll and Bute","Council Area",3610,4256,4337,4365,4832,4173,3824,4251,4560,5744,6895,7001,6452,6351,5973,4180,2962,2494
"396","City of Edinburgh","Council Area",25309,26334,22777,24496,44660,55449,47941,40325,32879,32231,32249,30171,25619,22498,19571,13692,11108,11191
"397","Clackmannanshire","Council Area",2686,2900,2875,2808,2900,2815,2905,2961,3039,3902,4167,3916,3299,3183,2882,1888,1273,1001
"398","Dumfries and Galloway","Council Area",6488,7566,7859,7245,7610,7370,7506,7267,7240,9898,11875,11953,11034,10830,10011,7334,5226,4478
"399","Dundee City","Council Area",7510,8005,7157,8401,13578,14335,11419,9096,7386,8500,9434,9713,8229,7101,6658,4759,3912,3557
"400","East Ayrshire","Council Area",6349,6966,6578,6330,6954,7223,7237,7122,6842,8863,9806,9058,7959,7393,6778,4553,3245,2584
"401","East Dunbartonshire","Council Area",5619,6273,6173,5893,5846,5616,5124,5841,6033,7647,8404,8427,7367,6580,6075,4536,3673,3203
"402","East Lothian","Council Area",5651,6408,6273,5418,5692,5815,5638,6236,6414,7780,8359,8064,6872,5969,5764,3960,2938,2539
"403","East Renfrewshire","Council Area",5185,6502,6476,5671,5196,4604,4330,5338,5982,6874,7262,6822,6031,5155,4755,3463,2815,2709
"404","Falkirk","Council Area",8175,9345,9026,8461,8926,9415,9819,10414,10402,12330,12785,11509,9727,9025,8024,5630,4053,3274
"405","Fife","Council Area",18956,21372,20356,20297,23933,22193,21114,22099,21336,25932,28128,26819,23785,21963,20873,14045,9995,8714
"406","Glasgow City","Council Area",33646,32848,28128,31575,53396,68913,58230,47631,36324,39044,41307,39157,31946,24866,20937,15457,12038,10967
"407","Highland","Council Area",11176,12641,13025,12389,11797,12135,13501,13815,13183,16284,18878,18098,16622,15524,13868,9685,6805,6114
"408","Inverclyde","Council Area",3579,4081,4183,4063,4502,4664,4414,4464,4186,5285,6478,6585,5284,4760,4227,3051,2267,2077
"409","Midlothian","Council Area",5821,5680,5142,4831,4848,5522,5816,6145,5506,6321,6654,6422,5603,5173,4767,3089,2223,1777
"410","Moray","Council Area",4522,5228,5357,5232,5219,5349,5628,5527,5485,6966,7305,6948,6331,5825,5414,3835,2815,2534
"411","Na h-Eileanan Siar","Council Area",1199,1348,1494,1264,1180,1134,1293,1424,1562,1944,2112,2116,1935,1948,1717,1324,940,896
"412","North Ayrshire","Council Area",6442,7358,7520,7261,8075,7452,7015,6970,7221,9421,10625,10407,9439,8811,8282,5819,3842,3320
"413","North Lanarkshire","Council Area",18329,20278,20444,19546,20572,20985,21571,22661,21105,24993,26727,24279,20686,17974,15456,11108,7705,5761
"414","Orkney Islands","Council Area",966,1156,1202,1066,1051,1215,1239,1217,1176,1523,1822,1750,1573,1524,1365,1055,704,586
"415","Perth and Kinross","Council Area",6897,7956,7954,8043,7710,8235,8534,8677,8185,10320,12014,11289,10277,9914,9023,6638,4845,4779
"416","Renfrewshire","Council Area",9022,9767,9585,9325,10688,11725,11515,11348,10007,12564,14169,13499,11288,9663,8783,6190,4729,3923
"417","Scottish Borders","Council Area",5486,6205,6213,5827,5553,5178,5315,5792,6040,8320,9408,9291,8539,8078,7785,5298,3741,3201
"418","Shetland Islands","Council Area",1195,1405,1343,1241,1204,1287,1388,1381,1400,1637,1758,1657,1539,1387,1202,900,592,474
"419","South Ayrshire","Council Area",5097,5698,5750,5633,5972,5531,5562,5781,5834,7589,8758,8858,8301,7926,7508,5292,3931,3529
"420","South Lanarkshire","Council Area",16803,17865,17416,16828,17757,18349,18629,20274,19200,23475,25173,24568,21386,18264,16142,11433,8343,7115
"421","Stirling","Council Area",4294,4865,5308,5864,7911,6500,5123,5111,5249,6684,7176,6648,5595,5051,4808,3513,2518,2112
"422","West Dunbartonshire","Council Area",4626,5225,4934,4622,5242,5825,5643,5427,4827,6150,7168,6892,6122,4987,4385,3055,2147,1853
"423","West Lothian","Council Area",10357,11627,11452,10209,10415,10766,12052,12247,11735,14006,14269,12930,10265,9146,8258,5734,3764,2908
"424","NORTHERN IRELAND","Country",121736,129115,120322,113891,115991,122563,126069,123336,115915,127716,132417,121596,102777,89246,80479,59344,41408,37720
"425","Antrim and Newtownabbey","Local Government District",8790,9921,9398,8632,8314,8827,9218,9473,9174,9980,10195,9183,7752,6834,6165,4630,3198,2808
"426","Ards and North Down","Local Government District",8650,9828,9855,8787,7762,8966,9350,9822,9625,11273,11761,11303,10127,9764,9551,6305,4143,3992
"427","Armagh City Banbridge and Craigavon","Local Government District",15102,15918,14582,12570,11877,14193,14779,14660,13667,14676,14860,13358,11037,9523,8710,6412,4433,3733
"428","Belfast","Local Government District",22047,22487,19833,20967,28686,26608,26302,23606,20256,20515,22098,20995,17399,13639,12210,9552,7410,7267
"429","Causeway Coast and Glens","Local Government District",8474,9155,9041,8939,9104,8296,8608,8664,8647,10284,10858,9741,8333,7602,6811,5189,3370,3130
"430","Derry City and Strabane","Local Government District",10270,10823,9785,9927,9654,9743,10058,9341,9316,10775,11012,9650,7948,7048,6080,4165,2854,2230
"431","Fermanagh and Omagh","Local Government District",7793,8213,7804,7357,6155,6940,7457,7586,7350,8048,8027,7666,6862,6058,5058,3564,2520,2377
"432","Lisburn and Castlereagh","Local Government District",9054,9615,8850,8124,7828,8830,9659,9721,9038,9893,10933,9959,7925,6830,6343,5160,3507,3112
"433","Mid and East Antrim","Local Government District",8043,8533,8559,7981,7666,8525,8388,8396,8145,10064,10518,9618,8297,7349,6830,5141,3561,3159
"434","Mid Ulster","Local Government District",10889,11248,10285,9187,8652,10151,10406,10425,9679,10005,9520,8646,7234,6259,5520,4040,2703,2543
"435","Newry Mourne and Down","Local Government District",12624,13374,12330,11420,10293,11484,11844,11642,11018,12203,12635,11477,9863,8340,7201,5186,3709,3369
