"","Name","Geography1","cat1","cat2","cat3","cat4","cat5","cat6","cat7","cat8","cat9","cat10","cat11","cat12","cat13","cat14","cat15","cat16","cat17","cat18"
"184","Epping Forest","Non-metropolitan District",7957,8083,7453,6664,6641,7984,7855,8473,8268,9518,10028,9064,7416,6673,6874,4651,3569,3966
"185","Harlow","Non-metropolitan District",6588,6475,5448,4537,4738,5616,6629,6509,5438,5559,5796,5420,4556,3631,3283,2381,1969,2021
"186","Maldon","Non-metropolitan District",2996,3445,3454,3370,2924,3041,2866,3180,3527,4697,5422,4872,4566,4524,4719,2900,2048,1874
"187","Rochford","Non-metropolitan District",4159,4842,4998,4601,4577,4631,4445,4847,5161,6480,6739,6193,5282,5212,5701,3707,2856,2550
"188","Tendring","Non-metropolitan District",7294,7853,7536,7026,6795,7158,6391,6463,6733,8794,10213,10398,10080,10943,12245,8124,5978,5779
"189","Uttlesford","Non-metropolitan District",5221,5691,5709,5000,3942,4332,4687,5523,5743,6923,7163,6561,5302,4781,4776,3072,2344,2409
"190","Hertfordshire","County",74764,80867,74386,64943,62623,71463,77536,85282,81675,84939,86599,76332,61714,53356,51972,35968,29524,30422
"191","Broxbourne","Non-metropolitan District",6309,6389,5830,5374,5241,6045,6344,6732,6023,6737,7306,6196,5045,4368,4615,3280,2675,2367
"192","Dacorum","Non-metropolitan District",10044,10411,9291,8078,7211,9082,10577,11218,10535,11196,10996,10448,8714,7376,6815,4591,3630,4067
"193","East Hertfordshire","Non-metropolitan District",8458,9560,9467,8428,6434,7939,8647,9922,10470,11594,12038,10400,8220,7225,7087,4793,3725,3698
"194","Hertsmere","Non-metropolitan District",6755,7287,6860,5778,5136,5904,6286,7073,6970,7191,7654,6855,5515,4936,4888,3345,2791,2981
"195","North Hertfordshire","Non-metropolitan District",8009,8897,7923,6769,5815,7323,8376,9638,9398,9804,10027,8764,7228,6665,6497,4599,3775,3707
"196","St Albans","Non-metropolitan District",9507,11171,10596,7963,5721,7444,8554,10764,11673,11403,11111,9116,7324,6563,6504,4419,3625,3915
"197","Stevenage","Non-metropolitan District",5891,6086,5257,4561,4963,6227,6816,6431,5337,5947,6482,5809,4606,3572,3346,2386,2062,1975
