0 0.05
5 0.05
10 0.05
15 0.05
20 0.05
25 0.05
30 0.05
35 0.05
40 0.063
45 0.063
50 0.122
55 0.122
60 0.274
65 0.274
70 0.432
75 0.432
80 0.709
85 0.709
