1.54321 0.52244 0.073 0.072 0.102 0.238 0.582 0.669 0.351 0.148 0.097 0.116 0.13 0.155 0.104488 0.104488 0.104488 0.104488 
0.763566 5.33692 0.213 0.152 0.159 0.224 0.353 0.667 0.805 0.457 0.253 0.184 0.287 0.153 0.160751 0.160751 0.160751 0.160751 
0.385802 1.05292 3.11 0.486 0.205 0.26 0.404 0.426 0.687 0.755 0.548 0.222 0.186 0.108 0.265239 0.265239 0.265239 0.265239 
0.265239 0.273276 1.049 4.496 0.65 0.33 0.41 0.374 0.402 0.631 0.616 0.387 0.256 0.123 0.506365 0.506365 0.506365 0.506365 
0.361689 0.241126 0.133 0.983 3.227 1.125 0.802 0.629 0.613 0.681 0.692 0.672 0.517 0.373 0.265239 0.265239 0.265239 0.265239 
0.634965 0.530477 0.18 0.367 1.483 2.286 1.578 1.126 0.955 0.93 0.838 0.923 0.727 0.545 0.265239 0.265239 0.265239 0.265239 
0.779641 0.860016 0.219 0.332 0.855 1.619 2.158 1.51 1.194 1.072 0.929 0.928 0.821 0.68 0.217013 0.217013 0.217013 0.217013 
0.819828 0.787678 0.241 0.327 0.586 0.971 1.46 1.874 1.464 1.141 0.958 0.857 0.805 0.739 0.160751 0.160751 0.160751 0.160751 
0.442064 0.803753 0.528 0.463 0.533 0.816 1.064 1.469 1.749 1.271 1.068 0.907 0.776 0.697 0.643003 0.643003 0.643003 0.643003 
0.233088 0.434027 0.558 0.56 0.416 0.489 0.584 0.738 1.027 1.207 0.912 0.706 0.57 0.542 0.458139 0.458139 0.458139 0.458139 
0.265239 0.305426 0.438 0.594 0.645 0.671 0.707 0.78 0.927 1.072 1.292 1.016 0.856 0.747 0.458139 0.458139 0.458139 0.458139 
0.249164 0.168788 0.153 0.297 0.38 0.486 0.486 0.478 0.52 0.647 0.827 1.054 0.876 0.644 0.265239 0.265239 0.265239 0.265239 
0.208976 0.200938 0.08 0.149 0.25 0.35 0.42 0.388 0.343 0.378 0.503 0.712 0.94 0.855 0.458139 0.458139 0.458139 0.458139 
0.0723378 0.0884129 0.076 0.075 0.132 0.189 0.233 0.263 0.258 0.242 0.239 0.352 0.531 0.968 0.482252 0.482252 0.482252 0.482252 
0.112525 0.120563 0.168788 0.0803753 0.192901 0.136638 0.120563 0.329539 0.401877 0.570665 0.425989 0.610853 0.377764 0.594778 1.18152 1.18152 1.18152 1.18152 
0.112525 0.120563 0.168788 0.0803753 0.192901 0.136638 0.120563 0.329539 0.401877 0.570665 0.425989 0.610853 0.377764 0.594778 1.18152 1.18152 1.18152 1.18152 
0.112525 0.120563 0.168788 0.0803753 0.192901 0.136638 0.120563 0.329539 0.401877 0.570665 0.425989 0.610853 0.377764 0.594778 1.18152 1.18152 1.18152 1.18152 
0.112525 0.120563 0.168788 0.0803753 0.192901 0.136638 0.120563 0.329539 0.401877 0.570665 0.425989 0.610853 0.377764 0.594778 1.18152 1.18152 1.18152 1.18152 
